subj item timing focus dist resp
A13 38 8sec unf dist 100
A13 49 8sec unf close 100
A13 51 8sec foc close 100
A13 29 8sec unf close 100
A13 37 8sec unf close 100
A13 35 8sec foc close 100
A13 39 8sec foc close 100
A13 47 8sec foc close 100
A13 36 8sec foc dist 100
A13 46 8sec unf dist 100
A13 41 8sec unf close 100
A13 27 8sec foc close 100
A13 34 8sec unf dist 100
A13 33 8sec unf close 100
A13 48 8sec foc dist 100
A13 25 8sec unf close 100
A13 52 8sec foc dist 100
A13 30 8sec unf dist 100
A14 47 8sec foc close 100
A14 41 8sec unf close 0
A14 48 8sec foc dist 100
A14 49 8sec unf close 100
A14 36 8sec foc dist 100
A14 33 8sec unf close 100
A14 37 8sec unf close 100
A14 31 8sec foc close 100
A14 25 8sec unf close 100
A14 29 8sec unf close 100
A14 50 8sec unf dist 100
A14 26 8sec unf dist 100
A14 27 8sec foc close 100
A14 52 8sec foc dist 100
A14 39 8sec foc close 100
A14 46 8sec unf dist 100
A14 42 8sec unf dist 100
A14 43 8sec foc close 100
A14 30 8sec unf dist 100
A14 35 8sec foc close 100
A14 44 8sec foc dist 100
A14 51 8sec foc close 100
A14 28 8sec foc dist 100
A14 34 8sec unf dist 100
A14 38 8sec unf dist 100
A14 40 8sec foc dist 100
A14 32 8sec foc dist 100
A14 45 8sec unf close 100
A15 28 8sec foc dist 100
A15 33 8sec unf close 100
A15 30 8sec unf dist 100
A15 27 8sec foc close 100
A15 46 8sec unf dist 100
A15 38 8sec unf dist 100
A15 36 8sec foc dist 100
A15 31 8sec foc close 100
A15 48 8sec foc dist 100
A15 25 8sec unf close 100
A15 45 8sec unf close 100
A15 47 8sec foc close 100
A15 34 8sec unf dist 100
A15 49 8sec unf close 100
A15 42 8sec unf dist 100
A15 37 8sec unf close 100
A15 52 8sec foc dist 100
A15 29 8sec unf close 100
A15 39 8sec foc close 100
A15 40 8sec foc dist 100
A15 26 8sec unf dist 100
A15 51 8sec foc close 100
A15 43 8sec foc close 100
A15 32 8sec foc dist 100
A15 41 8sec unf close 0
A15 44 8sec foc dist 100
A15 50 8sec unf dist 100
A15 35 8sec foc close 100
A16 45 8sec unf dist 100
A16 31 8sec foc dist 100
A16 25 8sec unf dist 100
A16 35 8sec foc dist 100
A16 26 8sec foc close 100
A16 38 8sec foc close 100
A16 29 8sec unf dist 100
A16 50 8sec foc close 100
A16 47 8sec foc dist 100
A16 28 8sec unf close 100
A16 42 8sec foc close 100
A16 34 8sec foc close 100
A16 52 8sec unf close 100
A16 27 8sec foc dist 100
A16 44 8sec unf close 100
A16 32 8sec unf close 100
A16 46 8sec foc close 100
A16 43 8sec foc dist 100
A16 36 8sec unf close 0
A16 48 8sec unf close 100
A16 37 8sec unf dist 100
A16 33 8sec unf dist 100
A16 40 8sec unf close 100
A16 49 8sec unf dist 100
A16 30 8sec foc close 100
A16 41 8sec unf dist 100
A16 39 8sec foc dist 100
A16 51 8sec foc dist 100
A17 29 8sec unf dist 100
A17 33 8sec unf dist 100
A17 36 8sec unf close 100
A17 35 8sec foc dist 100
A17 48 8sec unf close 0
A17 39 8sec foc dist 100
A17 41 8sec unf dist 100
A17 31 8sec foc dist 100
A17 25 8sec unf dist 100
A17 32 8sec unf close 100
A17 52 8sec unf close 100
A17 42 8sec foc close 100
A17 28 8sec unf close 100
A17 45 8sec unf dist 100
A17 37 8sec unf dist 100
A17 46 8sec foc close 0
A17 51 8sec foc dist 100
A17 49 8sec unf dist 100
A17 40 8sec unf close 100
A17 30 8sec foc close 100
A17 50 8sec foc close 100
A17 27 8sec foc dist 100
A17 47 8sec foc dist 100
A17 43 8sec foc dist 100
A17 26 8sec foc close 100
A17 44 8sec unf close 100
A17 34 8sec foc close 100
A17 38 8sec foc close 100
A18 51 8sec foc dist 0
A18 28 8sec unf close 0
A18 45 8sec unf dist 100
A18 29 8sec unf dist 100
A18 37 8sec unf dist 100
A18 47 8sec foc dist 100
A18 52 8sec unf close 100
A18 32 8sec unf close 0
A18 43 8sec foc dist 100
A18 25 8sec unf dist 100
A18 36 8sec unf close 100
A18 48 8sec unf close 100
A18 44 8sec unf close 100
A18 46 8sec foc close 100
A18 34 8sec foc close 100
A18 49 8sec unf dist 100
A18 39 8sec foc dist 100
A18 50 8sec foc close 100
A18 30 8sec foc close 0
A18 41 8sec unf dist 100
A18 42 8sec foc close 100
A18 35 8sec foc dist 100
A18 26 8sec foc close 100
A18 40 8sec unf close 100
A18 38 8sec foc close 100
A18 33 8sec unf dist 100
A18 27 8sec foc dist 100
A18 31 8sec foc dist 100
A20 25 8sec unf dist 100
A20 46 8sec foc close 0
A20 35 8sec foc dist 100
A20 44 8sec unf close 100
A20 49 8sec unf dist 100
A20 42 8sec foc close 100
A20 51 8sec foc dist 100
A20 52 8sec unf close 100
A20 38 8sec foc close 100
A20 32 8sec unf close 100
A20 36 8sec unf close 100
A20 26 8sec foc close 100
A20 34 8sec foc close 100
A20 39 8sec foc dist 100
A20 33 8sec unf dist 100
A20 45 8sec unf dist 100
A20 48 8sec unf close 100
A20 30 8sec foc close 100
A20 28 8sec unf close 100
A20 31 8sec foc dist 100
A20 41 8sec unf dist 0
A20 29 8sec unf dist 100
A20 50 8sec foc close 100
A20 40 8sec unf close 100
A20 27 8sec foc dist 100
A20 47 8sec foc dist 100
A20 37 8sec unf dist 100
A20 43 8sec foc dist 100
A21 52 8sec unf close 100
A21 43 8sec foc dist 100
A21 41 8sec unf dist 0
A21 46 8sec foc close 100
A21 28 8sec unf close 100
A21 35 8sec foc dist 100
A21 50 8sec foc close 100
A21 42 8sec foc close 100
A21 26 8sec foc close 100
A21 38 8sec foc close 100
A21 47 8sec foc dist 100
A21 31 8sec foc dist 100
A21 32 8sec unf close 100
A21 36 8sec unf close 100
A21 30 8sec foc close 100
A21 49 8sec unf dist 100
A21 51 8sec foc dist 100
A21 39 8sec foc dist 100
